City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
85,Mezen,65.8522,44.24,43.39,86,100,9.15,overcast clouds
86,Port Elizabeth,-33.918,25.5701,43.09,87,0,4.61,clear sky
87,Nara,34.6851,135.8049,90.97,43,24,3.22,few clouds
88,Price,39.5994,-110.8107,84.11,34,1,8.05,clear sky
89,Pevek,69.7008,170.3133,40.21,93,90,5.61,overcast clouds
90,Kalmunai,7.4167,81.8167,81.03,68,97,8.72,overcast clouds
91,Lokosovo,61.1333,74.8167,63.86,91,96,4.94,light rain
92,Banjarmasin,-3.3244,114.591,86.14,65,99,6.06,overcast clouds
93,Namibe,-15.1961,12.1522,64.38,84,0,3.76,clear sky
94,Hamilton,39.1834,-84.5333,76.01,77,1,0.0,clear sky
95,Merauke,-8.4667,140.3333,81.81,65,94,9.62,overcast clouds
96,Pangnirtung,66.1451,-65.7125,44.28,75,16,0.94,few clouds
97,Mahebourg,-20.4081,57.7,68.25,94,75,6.91,light rain
98,Lasa,46.6166,10.7002,65.66,72,100,2.62,overcast clouds
99,Tyret Pervaya,53.6703,102.3106,68.23,63,19,5.19,few clouds
100,Butaritari,3.0707,172.7902,83.26,76,4,16.46,light rain
101,Chokurdakh,70.6333,147.9167,47.08,60,98,14.47,overcast clouds
102,Castro,-24.7911,-50.0119,50.61,80,0,3.67,clear sky
103,Isfana,39.8386,69.5306,68.56,35,0,2.37,clear sky
104,Tecoanapa,16.5167,-98.75,82.44,81,100,8.05,overcast clouds
105,Zhigansk,66.7697,123.3711,73.13,40,90,9.71,overcast clouds
106,Mahibadhoo,3.7833,72.9667,82.35,76,74,9.98,broken clouds
107,Lorengau,-2.0226,147.2712,83.93,79,93,9.82,overcast clouds
108,Namie,37.4833,141.0,86.77,75,82,5.3,broken clouds
109,Churapcha,62.0025,132.4325,63.5,75,100,13.51,overcast clouds
110,Medvedok,57.3891,50.0351,53.56,97,18,6.13,few clouds
111,Bethel,41.3712,-73.414,72.48,80,1,3.44,clear sky
112,Te Anau,-45.4167,167.7167,51.12,72,21,2.44,few clouds
113,Khaniotis,39.9991,23.58,80.51,59,8,7.83,clear sky
114,Atambua,-9.1061,124.8925,82.74,35,89,1.41,overcast clouds
115,Severo-Kurilsk,50.6789,156.125,57.92,89,89,7.27,overcast clouds
116,Obo,5.3998,26.4869,67.19,97,99,3.74,overcast clouds
117,Airai,-8.9266,125.4092,75.61,21,54,4.38,broken clouds
118,Nakhon Pathom,13.9833,100.0833,87.94,77,100,7.54,overcast clouds
119,Vila Velha,-20.3297,-40.2925,64.35,82,75,2.3,broken clouds
120,Padang,-0.9492,100.3543,77.05,69,100,1.5,overcast clouds
121,Awbari,26.5921,12.7805,77.9,20,0,8.32,clear sky
122,Sabang,5.8933,95.3214,83.61,77,100,20.69,overcast clouds
123,Mecca,21.4267,39.8261,88.59,34,99,1.43,overcast clouds
124,Arraial Do Cabo,-22.9661,-42.0278,62.56,88,0,5.75,clear sky
125,San Patricio,28.017,-97.5169,86.41,72,0,13.56,clear sky
126,Cherskiy,68.75,161.3,53.62,57,97,11.23,overcast clouds
127,Balikpapan,-1.2675,116.8289,83.39,79,40,8.05,scattered clouds
128,Yumen,40.2833,97.2,81.12,35,91,2.51,overcast clouds
129,Mbuji-Mayi,-6.15,23.6,70.12,40,4,4.83,clear sky
130,Nikolskoye,59.7035,30.7861,54.01,74,91,4.09,overcast clouds
131,Gwadar,25.1216,62.3254,82.11,87,64,4.52,broken clouds
132,Kahului,20.8947,-156.47,84.97,74,40,28.77,scattered clouds
133,Simbahan,6.3032,120.5836,83.8,80,75,15.43,broken clouds
134,Nanortalik,60.1432,-45.2371,42.19,89,83,10.83,broken clouds
135,Ketchikan,55.3422,-131.6461,57.67,94,90,10.36,moderate rain
136,Avarua,-21.2078,-159.775,78.85,65,20,12.66,few clouds
137,Christchurch,-43.5333,172.6333,53.8,71,0,5.99,clear sky
138,Codrington,-38.2667,141.9667,51.4,78,46,16.28,scattered clouds
139,Ayan,56.45,138.1667,59.67,89,79,13.38,broken clouds
140,Bambous Virieux,-20.3428,57.7575,68.22,94,75,6.91,light rain
141,Bulawayo,-20.15,28.5833,42.24,80,1,16.24,clear sky
142,Saint-Joseph,-21.3667,55.6167,64.78,68,19,6.98,few clouds
143,Los Llanos De Aridane,28.6585,-17.9182,67.75,93,0,14.97,clear sky
144,Pacific Grove,36.6177,-121.9166,82.26,82,40,1.99,scattered clouds
145,Caruray,10.3094,119.0128,86.68,67,100,18.32,overcast clouds
146,Ellisras,-23.6649,27.7443,45.36,39,0,11.23,clear sky
147,East London,-33.0153,27.9116,52.34,62,89,3.53,overcast clouds
148,Mae Hong Son,19.3003,97.9685,78.94,89,75,0.0,broken clouds
149,Sur,22.5667,59.5289,88.36,63,79,11.61,broken clouds
150,Yellowknife,62.456,-114.3525,66.72,77,90,3.44,thunderstorm with light rain
151,Emerald,-23.5333,148.1667,73.54,31,0,8.05,clear sky
152,Kemijarvi,66.7131,27.4306,43.0,89,71,4.34,broken clouds
153,Karwar,14.8,74.1333,78.46,89,100,13.31,overcast clouds
154,Hokitika,-42.7167,170.9667,52.09,72,0,3.15,clear sky
155,Luderitz,-26.6481,15.1594,62.92,24,16,22.44,few clouds
156,Swellendam,-34.0226,20.4417,43.18,63,0,6.35,clear sky
157,Kargil,34.5667,76.1,60.37,55,12,3.11,few clouds
158,Keuruu,62.2667,24.7,48.79,80,12,2.39,few clouds
159,Zaraza,9.3503,-65.3245,73.8,97,98,3.0,overcast clouds
160,Livingston,55.9029,-3.5226,57.85,94,75,1.14,broken clouds
161,Mount Gambier,-37.8333,140.7667,53.51,82,21,13.8,few clouds
162,Guaymas,27.9333,-110.9,90.88,58,98,6.17,overcast clouds
163,Bandarbeyla,9.4942,50.8122,78.8,63,34,30.91,scattered clouds
164,Aklavik,68.2191,-135.0107,67.03,31,37,4.54,scattered clouds
165,Puerto Leguizamo,-0.1934,-74.7819,71.6,96,100,1.68,overcast clouds
166,Fort Nelson,58.8053,-122.7002,69.39,43,75,6.91,broken clouds
167,Zhigalovo,54.8097,105.1578,69.22,60,3,2.1,clear sky
168,Roald,62.5833,6.1333,57.16,94,44,11.5,scattered clouds
169,Ribeira Grande,38.5167,-28.7,70.9,95,96,7.27,overcast clouds
170,Dingle,10.9995,122.6711,82.96,79,100,17.6,overcast clouds
171,Sakyla,61.0333,22.3333,47.79,81,3,1.21,clear sky
172,Hasaki,35.7333,140.8333,88.29,71,10,9.35,clear sky
173,Owando,-0.4819,15.8999,71.46,73,49,3.22,scattered clouds
174,Gornopravdinsk,60.05,69.9,60.24,75,100,4.92,overcast clouds
175,Esso,55.9333,158.7,58.77,89,100,3.22,overcast clouds
