City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
537,Hailar,CN,74.75,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
539,Santa Isabel Do Rio Negro,BR,72.73,overcast clouds,-0.4139,-65.0192,Hotel GSA
540,Mitsamiouli,KM,76.84,clear sky,-11.3847,43.2844,Foyer ADM
543,Sarangani,PH,84.45,overcast clouds,5.4033,125.4636,Ballistic Islet
545,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
546,Hamilton,US,76.05,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
547,Nantucket,US,70.0,clear sky,41.2835,-70.0995,Jared Coffin House
548,Morro Bay,US,74.34,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
550,Ati,TD,80.22,clear sky,13.2154,18.3353,
551,Villa Rica,US,78.42,overcast clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
555,Pierre,US,83.32,clear sky,44.3683,-100.351,Ramkota Hotel
556,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
559,Omis,HR,71.53,clear sky,43.4447,16.6886,Hotel Villa Dvor
561,Riberalta,BO,72.66,clear sky,-10.9833,-66.1,Hotel Colonial
562,Gizo,SB,84.02,overcast clouds,-8.103,156.8419,Imagination Island
567,Katwa,IN,81.7,moderate rain,23.6399,88.128,AURS MULTITRADE INDIA
571,Pochutla,MX,83.25,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
576,Samarai,PG,81.1,broken clouds,-10.6167,150.6667,Nuli Sapi
578,Baft,IR,74.8,clear sky,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
579,Dingle,PH,82.96,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
584,Belyy Yar,RU,73.29,clear sky,53.6039,91.3903,Pasportnyy Stol
585,Lixourion,GR,75.06,clear sky,38.2019,20.4314,Hotel Summery
586,Yaan,NG,70.34,light rain,7.3833,8.5667,
587,Bahia De Caraquez,EC,73.58,overcast clouds,-0.6,-80.4167,La Piedra Hotel
595,Bengkulu,ID,81.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
600,Mogadishu,SO,76.98,overcast clouds,2.0371,45.3438,Hotel Juba
604,Vao,NC,71.13,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
605,Songkhla,TH,84.25,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
606,Brigantine,US,76.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
607,Chernyshevskiy,RU,75.7,few clouds,63.0128,112.4714,Chernyseyskiy
610,Tual,ID,79.59,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
611,Gat,IL,77.92,broken clouds,31.61,34.7642,OlusHome
612,Fomboni,KM,77.77,light rain,-12.28,43.7425,Pension Paradis
614,Turukhansk,RU,73.99,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
616,Bemidji,US,82.69,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
617,Karratha,AU,76.91,clear sky,-20.7377,116.8463,ibis Styles Karratha
618,La Asuncion,VE,80.33,broken clouds,11.0333,-63.8628,Colinas de Matasiete
619,Machico,PT,72.23,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
626,Nianzishan,CN,80.55,moderate rain,47.5167,122.8833,Wenhua Hotel
629,Angoram,PG,81.27,light rain,-4.0625,144.0661,
636,Oriximina,BR,76.98,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
638,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
639,Myitkyina,MM,79.12,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
648,Naze,JP,79.72,light rain,28.3667,129.4833,奄美ポートタワーホテル
649,Ladispoli,IT,75.96,few clouds,41.9537,12.0735,Hotel Villa Margherita
651,Pakxan,LA,74.01,moderate rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
654,Hervey Bay,AU,77.11,few clouds,-25.2986,152.8535,Shelly Bay Resort
655,Salinas,US,78.66,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
658,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
661,Ames,US,82.31,clear sky,42.0347,-93.6199,"Holiday Inn Express & Suites Ames, an IHG Hotel"
665,Havre,FR,70.57,clear sky,49.5833,0.3333,gite bois jourdain
669,Sidi Ali,DZ,79.5,few clouds,36.0998,0.4206,الغابة الترفيهية بورحمة
670,Rey Bouba,CM,72.41,overcast clouds,8.6724,14.1786,
673,Huilong,CN,79.99,light rain,31.8111,121.655,Hilton Garden Inn Qidong
676,Maceio,BR,71.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
677,Kargasok,RU,75.07,clear sky,59.0556,80.8572,Hotel Kargasok
681,Puerto Leguizamo,CO,71.53,overcast clouds,-0.1934,-74.7819,la casona de juancho
683,Alexandria,EG,76.96,clear sky,31.2156,29.9553,Royal Crown Hotel
684,Vadlapudi,IN,84.79,overcast clouds,14.3167,79.8,
689,Port Moresby,PG,80.22,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
691,Linguere,SN,75.33,scattered clouds,15.3953,-15.1193,AYO Casablanca
693,Nemuro,JP,81.03,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
698,Port-Gentil,GA,74.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
699,Havelock,US,78.75,clear sky,34.8791,-76.9013,Sherwood Motel
703,Kangaba,ML,70.86,light rain,11.9333,-8.4167,Hôtel Mandé
704,Sarankhola,BD,82.09,moderate rain,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
708,La Romana,DO,82.13,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
711,Ambulu,ID,83.28,clear sky,-8.345,113.6058,Hotel Ambulu Jember
