City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Pekalongan,ID,-6.8886,109.6753,87.01,67,9,0.31,clear sky
80,Leningradskiy,RU,69.3833,178.4167,39.69,80,99,7.52,overcast clouds
81,Maniitsoq,GL,65.4167,-52.9,41.38,97,100,22.95,moderate rain
82,Vaitape,PF,-16.5167,-151.75,78.06,68,22,12.57,few clouds
83,Port Lincoln,AU,-34.7333,135.8667,54.18,72,100,30.98,light rain
84,Nanortalik,GL,60.1432,-45.2371,42.19,89,83,10.83,broken clouds
85,Prince Rupert,CA,54.3161,-130.3201,59.09,88,90,4.61,light rain
86,Dikson,RU,73.5069,80.5464,44.55,74,100,24.14,overcast clouds
87,Namibe,AO,-15.1961,12.1522,64.38,84,0,3.76,clear sky
88,Mildura,AU,-34.2,142.15,57.16,54,75,17.27,broken clouds
89,Oranjestad,AW,12.524,-70.027,82.35,83,20,16.11,few clouds
90,Victoria,HK,22.2855,114.1577,89.58,83,5,1.99,clear sky
91,Luena,AO,-11.7833,19.9167,50.27,43,12,5.53,few clouds
92,New Norfolk,AU,-42.7826,147.0587,53.89,73,100,1.01,overcast clouds
93,Puerto Madryn,AR,-42.7692,-65.0385,47.3,40,58,8.81,broken clouds
94,Grand Baie,MU,-20.0182,57.5802,67.44,77,32,3.0,scattered clouds
95,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,31.07,light rain
96,Aklavik,CA,68.2191,-135.0107,67.03,31,37,4.54,scattered clouds
97,Carnarvon,AU,-24.8667,113.6333,64.47,56,91,16.11,overcast clouds
98,Cape Town,ZA,-33.9258,18.4232,48.11,82,0,3.44,clear sky
99,Georgetown,MY,5.4112,100.3354,87.89,76,20,1.01,few clouds
100,Iqaluit,CA,63.7506,-68.5145,49.73,71,75,8.01,broken clouds
101,Meulaboh,ID,4.1363,96.1285,80.98,75,91,4.05,moderate rain
102,Ponta Do Sol,PT,32.6667,-17.1,72.23,77,1,5.88,clear sky
103,Aron,IN,24.3833,77.4167,77.5,82,100,7.43,moderate rain
104,Honghu,CN,29.8206,113.4621,85.44,71,86,9.06,overcast clouds
105,Avarua,CK,-21.2078,-159.775,77.05,69,0,12.66,clear sky
106,Arraial Do Cabo,BR,-22.9661,-42.0278,69.15,70,0,19.1,clear sky
107,Mount Gambier,AU,-37.8333,140.7667,51.94,72,21,12.73,light rain
108,Gazanjyk,TM,39.2446,55.5154,83.3,65,0,7.54,clear sky
109,Gidam,IN,18.9833,81.4,74.75,88,99,6.64,moderate rain
110,Bethel,US,41.3712,-73.414,70.92,82,1,0.0,clear sky
111,Sao Filipe,CV,14.8961,-24.4956,73.99,74,21,9.46,few clouds
112,Tiksi,RU,71.6872,128.8694,46.44,80,52,9.1,broken clouds
113,Puerto Ayora,EC,-0.7393,-90.3518,72.55,87,43,4.0,scattered clouds
114,Saskylakh,RU,71.9167,114.0833,54.36,73,100,15.77,overcast clouds
115,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,2.77,light rain
116,Anjozorobe,MG,-18.4,47.8667,50.32,97,56,4.43,broken clouds
117,Yarmouth,US,41.7057,-70.2286,68.97,87,1,1.01,clear sky
118,Fukue,JP,32.6881,128.8419,86.36,66,75,9.22,broken clouds
119,Faya,SA,18.3851,42.4509,61.32,67,100,3.49,overcast clouds
120,Coquimbo,CL,-29.9533,-71.3436,53.33,82,90,2.3,overcast clouds
121,Axim,GH,4.8699,-2.2405,75.54,77,89,8.72,overcast clouds
122,Isangel,VU,-19.55,169.2667,86.11,66,75,0.0,broken clouds
123,Chuy,UY,-33.6971,-53.4616,58.64,90,11,4.56,light rain
124,Beloha,MG,-25.1667,45.05,62.91,55,100,9.86,overcast clouds
125,Syriam,MM,16.7722,96.2378,77.11,100,75,4.61,light rain
126,Atuona,PF,-9.8,-139.0333,77.11,78,31,11.12,scattered clouds
127,Balikpapan,ID,-1.2675,116.8289,83.39,79,40,8.05,scattered clouds
128,Chara,RU,56.9064,118.2631,64.42,69,100,3.69,overcast clouds
129,Paamiut,GL,61.994,-49.6678,42.37,91,100,12.59,light rain
130,Pala,TD,9.3642,14.9046,69.24,97,52,4.99,broken clouds
131,Jalu,LY,29.0331,21.5482,78.19,43,0,8.57,clear sky
132,Beauceville,CA,46.2179,-70.7787,61.74,82,67,2.3,broken clouds
133,Qaanaaq,GL,77.484,-69.3632,40.05,75,83,2.24,broken clouds
134,Severo-Kurilsk,RU,50.6789,156.125,57.92,89,89,7.27,overcast clouds
135,Cermik,TR,38.1361,39.4493,68.49,47,0,6.76,clear sky
136,Perth,AU,-31.9333,115.8333,63.18,77,75,4.61,broken clouds
137,Calvinia,ZA,-31.4707,19.776,36.79,53,0,9.55,clear sky
138,Hami,CN,42.8,93.45,85.86,45,62,15.12,broken clouds
139,Vanderhoof,CA,54.0166,-124.0198,67.95,43,79,9.62,broken clouds
140,Maarianhamina,AX,60.0973,19.9348,42.66,93,0,1.14,clear sky
141,Faanui,PF,-16.4833,-151.75,78.06,67,23,12.66,few clouds
142,Corowa,AU,-36.0333,146.3833,47.41,95,99,10.85,overcast clouds
143,Esperance,AU,-33.8667,121.9,53.92,76,90,20.65,light rain
144,Uvinza,TZ,-5.1036,30.3911,65.75,52,18,5.55,few clouds
145,Sharlyk,RU,52.9167,54.75,62.33,68,13,3.87,few clouds
146,Alta Floresta,BR,-9.8756,-56.0861,73.24,43,27,4.38,scattered clouds
147,Thinadhoo,MV,0.5333,72.9333,81.95,77,72,8.34,broken clouds
148,Upernavik,GL,72.7868,-56.1549,39.06,95,100,10.09,overcast clouds
149,Barrow,US,71.2906,-156.7887,37.42,87,90,14.97,overcast clouds
150,Acarau,BR,-2.8856,-40.12,78.87,78,33,15.37,scattered clouds
151,Komarno,SK,47.7636,18.1226,64.06,64,4,1.14,clear sky
152,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,47,75,14.97,broken clouds
153,Geraldton,AU,-28.7667,114.6,61.21,88,75,9.22,broken clouds
154,Alugan,PH,12.2188,125.4808,83.7,68,100,10.96,overcast clouds
155,Mount Isa,AU,-20.7333,139.5,74.97,25,0,5.75,clear sky
156,Port Blair,IN,11.6667,92.75,82.31,83,100,21.83,overcast clouds
157,Jumla,NP,29.2747,82.1838,64.99,95,92,2.53,overcast clouds
158,Yinchuan,CN,38.4681,106.2731,81.21,50,40,7.78,scattered clouds
159,Gorom-Gorom,BF,14.4439,-0.2361,84.85,56,98,14.2,overcast clouds
160,Esmeraldas,BR,-19.7625,-44.3139,61.66,70,0,4.18,clear sky
161,Honiara,SB,-9.4333,159.95,85.3,74,23,5.21,few clouds
162,Tashtyp,RU,52.7939,89.8983,67.84,89,100,1.95,overcast clouds
163,Chokurdakh,RU,70.6333,147.9167,47.08,60,98,14.47,overcast clouds
164,Alice Springs,AU,-23.7,133.8833,62.15,29,60,11.5,broken clouds
165,Guerrero Negro,MX,27.9769,-114.0611,71.71,78,56,16.2,broken clouds
166,Vila,PT,42.0304,-8.1588,53.33,86,20,3.15,few clouds
167,Chase,CA,50.8165,-119.6857,82.4,31,25,2.53,scattered clouds
168,Madimba,TZ,-10.4,40.3333,69.85,81,6,14.12,clear sky
169,Pundaguitan,PH,6.3711,126.1689,84.74,72,17,12.73,few clouds
170,Saint-Augustin,CA,51.226,-58.6502,49.53,90,100,10.92,overcast clouds
171,Mahibadhoo,MV,3.7833,72.9667,82.35,76,74,9.98,broken clouds
172,Siuna,NI,13.7332,-84.7773,74.48,85,100,4.21,overcast clouds
173,Bambous Virieux,MU,-20.3428,57.7575,68.22,94,75,5.75,light intensity shower rain
174,Lodja,CD,-3.4833,23.4333,68.79,38,49,2.17,scattered clouds
175,Riyadh,SA,24.6877,46.7219,86.14,21,44,5.35,scattered clouds
176,Shakawe,BW,-18.3667,21.85,42.58,22,0,6.06,clear sky
177,Manavalakurichi,IN,8.1333,77.3,78.89,84,100,13.85,overcast clouds
178,Chapais,CA,49.7834,-74.8492,58.78,62,65,4.79,broken clouds
179,Gorontalo,ID,0.5412,123.0595,85.8,54,83,5.01,broken clouds
180,Gwadar,PK,25.1216,62.3254,82.11,87,64,4.52,broken clouds
181,Champerico,GT,14.3,-91.9167,83.73,80,47,6.33,scattered clouds
182,Tumaco,CO,1.7986,-78.8156,76.86,81,100,8.1,overcast clouds
183,Madang,PG,-5.2246,145.7966,78.87,89,100,2.26,overcast clouds
